DATE & TIME,Solar Radiation (Wh/m)2,UV Intensity,Atmospheric Clarity,Temperature (2m),Humidity (2M),PS,Wind Speed (10m),Wind Direction (10m),Mega Watts
2021-01-01 00:00:00,0.0,0.0,0.37,8.03,6.65,93.99,3.62,85.05,0
2021-01-01 01:00:00,0.0,0.0,0.37,8.01,6.65,94.0,3.5,91.92,0
2021-01-01 02:00:00,0.0,0.0,0.37,8.03,6.65,94.0,3.41,98.58,0
2021-01-01 03:00:00,0.0,0.0,0.37,8.01,6.59,93.98,3.33,101.65,0
2021-01-01 04:00:00,0.0,0.0,0.37,7.92,6.59,93.98,3.26,104.87,0
2021-01-01 05:00:00,0.0,0.0,0.37,7.86,6.53,94.0,3.15,107.9,0
2021-01-01 06:00:00,0.0,0.0,0.37,7.71,6.47,94.03,3.07,108.99,0
2021-01-01 07:00:00,26.64,0.02,0.37,7.6,6.41,94.08,2.94,107.95,0
2021-01-01 08:00:00,175.64,0.23,0.54,8.15,6.41,94.15,2.88,104.94,14
2021-01-01 09:00:00,358.77,1.0,0.65,9.14,6.47,94.2,2.77,100.07,150
2021-01-01 10:00:00,509.47,2.15,0.7,10.97,6.47,94.19,2.71,92.32,185
2021-01-01 11:00:00,599.23,3.08,0.73,12.8,6.47,94.13,2.74,90.16,185
2021-01-01 12:00:00,614.74,3.23,0.72,14.01,6.47,94.04,2.76,90.0,185
2021-01-01 13:00:00,573.09,2.77,0.71,14.98,6.53,93.97,2.83,94.28,185
2021-01-01 14:00:00,473.59,1.75,0.7,15.44,6.47,93.92,2.96,97.13,185
2021-01-01 15:00:00,306.27,0.73,0.62,15.26,6.47,93.92,3.09,94.06,185
2021-01-01 16:00:00,127.0,0.1,0.49,14.07,6.53,93.96,2.61,86.57,203
2021-01-01 17:00:00,9.96,0.0,0.37,11.09,6.53,94.04,2.6,74.13,20
2021-01-01 18:00:00,0.0,0.0,0.3707142857142857,10.59,6.53,94.13,2.86,71.52,0
2021-01-01 19:00:00,0.0,0.0,0.37142857142857144,10.29,6.47,94.18,3.31,74.39,0
2021-01-01 20:00:00,0.0,0.0,0.37214285714285716,9.51,6.47,94.17,3.67,78.59,0
2021-01-01 21:00:00,0.0,0.0,0.37285714285714283,8.22,6.41,94.16,3.59,83.0,0
2021-01-01 22:00:00,0.0,0.0,0.37357142857142855,7.31,6.35,94.16,3.42,87.25,0
2021-01-01 23:00:00,0.0,0.0,0.3742857142857143,6.57,6.29,94.15,3.25,92.62,0
2021-01-02 00:00:00,0.0,0.0,0.375,5.97,6.23,94.15,3.15,98.69,0
2021-01-02 01:00:00,0.0,0.0,0.3757142857142857,5.44,6.16,94.16,3.06,103.12,0
2021-01-02 02:00:00,0.0,0.0,0.37642857142857145,4.94,6.04,94.17,2.93,102.93,0
2021-01-02 03:00:00,0.0,0.0,0.37714285714285717,4.94,5.98,94.16,2.89,99.03,0
2021-01-02 04:00:00,0.0,0.0,0.37785714285714284,5.26,5.92,94.14,2.91,95.85,0
2021-01-02 05:00:00,0.0,0.0,0.37857142857142856,5.31,5.86,94.15,2.93,93.06,0
2021-01-02 06:00:00,0.0,0.0,0.3792857142857143,4.68,5.8,94.21,2.92,92.14,0
2021-01-02 07:00:00,27.13,0.02,0.38,4.77,5.74,94.26,3.34,94.7,0
