DATE & TIME,Solar Radiation (Wh/m)2,UV Intensity,Atmospheric Clarity,Temperature (2m),Humidity (2M),PS,Wind Speed (10m),Wind Direction (10m),MW Supply,MW Demand
2021-01-01 00:00:00,0.0,0.0,0.37,8.03,6.65,93.99,3.62,85.05,0,204.89
2021-01-01 01:00:00,0.0,0.0,0.37,8.01,6.65,94.0,3.5,91.92,0,191.17000000000002
2021-01-01 02:00:00,0.0,0.0,0.37,8.03,6.65,94.0,3.41,98.58,0,182.21
2021-01-01 03:00:00,0.0,0.0,0.37,8.01,6.59,93.98,3.33,101.65,0,171.64
2021-01-01 04:00:00,0.0,0.0,0.37,7.92,6.59,93.98,3.26,104.87,0,168.28
2021-01-01 05:00:00,0.0,0.0,0.37,7.86,6.53,94.0,3.15,107.9,0,179.41
2021-01-01 06:00:00,0.0,0.0,0.37,7.71,6.47,94.03,3.07,108.99,0,197.96
2021-01-01 07:00:00,26.64,0.02,0.37,7.6,6.41,94.08,2.94,107.95,0,163.23999999999998
2021-01-01 08:00:00,175.64,0.23,0.54,8.15,6.41,94.15,2.88,104.94,14,158.26999999999998
2021-01-01 09:00:00,358.77,1.0,0.65,9.14,6.47,94.2,2.77,100.07,150,157.01
2021-01-01 10:00:00,509.47,2.15,0.7,10.97,6.47,94.19,2.71,92.32,185,164.14999999999998
2021-01-01 11:00:00,599.23,3.08,0.73,12.8,6.47,94.13,2.74,90.16,185,164.98999999999998
2021-01-01 12:00:00,614.74,3.23,0.72,14.01,6.47,94.04,2.76,90.0,185,166.73999999999998
2021-01-01 13:00:00,573.09,2.77,0.71,14.98,6.53,93.97,2.83,94.28,185,175.07
2021-01-01 14:00:00,473.59,1.75,0.7,15.44,6.47,93.92,2.96,97.13,185,167.64999999999998
2021-01-01 15:00:00,306.27,0.73,0.62,15.26,6.47,93.92,3.09,94.06,185,166.73999999999998
2021-01-01 16:00:00,127.0,0.1,0.49,14.07,6.53,93.96,2.61,86.57,203,173.18
2021-01-01 17:00:00,9.96,0.0,0.37,11.09,6.53,94.04,2.6,74.13,20,173.67
2021-01-01 18:00:00,0.0,0.0,0.3707142857142857,10.59,6.53,94.13,2.86,71.52,0,237.16
2021-01-01 19:00:00,0.0,0.0,0.3714285714285714,10.29,6.47,94.18,3.31,74.39,0,232.32999999999996
2021-01-01 20:00:00,0.0,0.0,0.3721428571428571,9.51,6.47,94.17,3.67,78.59,0,227.01
2021-01-01 21:00:00,0.0,0.0,0.3728571428571428,8.22,6.41,94.16,3.59,83.0,0,224.07
2021-01-01 22:00:00,0.0,0.0,0.3735714285714285,7.31,6.35,94.16,3.42,87.25,0,218.04999999999998
2021-01-01 23:00:00,0.0,0.0,0.3742857142857143,6.57,6.29,94.15,3.25,92.62,0,209.16
2021-01-02 00:00:00,0.0,0.0,0.375,5.97,6.23,94.15,3.15,98.69,0,198.58999999999997
2021-01-02 01:00:00,0.0,0.0,0.3757142857142857,5.44,6.16,94.16,3.06,103.12,0,186.12999999999997
2021-01-02 02:00:00,0.0,0.0,0.3764285714285714,4.94,6.04,94.17,2.93,102.93,0,173.88
2021-01-02 03:00:00,0.0,0.0,0.3771428571428571,4.94,5.98,94.16,2.89,99.03,0,164.07999999999998
2021-01-02 04:00:00,0.0,0.0,0.3778571428571428,5.26,5.92,94.14,2.91,95.85,0,160.79
2021-01-02 05:00:00,0.0,0.0,0.3785714285714285,5.31,5.86,94.15,2.93,93.06,0,169.47
2021-01-02 06:00:00,0.0,0.0,0.3792857142857143,4.68,5.8,94.21,2.92,92.14,0,190.54
2021-01-02 07:00:00,27.13,0.02,0.38,4.77,5.74,94.26,3.34,94.7,0,155.26
2021-01-02 08:00:00,165.5,0.25,0.51,6.7,5.68,94.31,4.6,95.75,30,153.08999999999997
2021-01-02 09:00:00,335.16,1.15,0.61,8.79,5.74,94.33,4.21,94.26,110,159.18
2021-01-02 10:00:00,507.5,2.42,0.7,11.8,5.8,94.29,4.96,100.81,110,163.23999999999998
2021-01-02 11:00:00,604.54,3.48,0.73,14.64,6.16,94.21,5.5,108.05,220,166.39
2021-01-02 12:00:00,609.42,3.55,0.71,16.7,6.65,94.12,5.66,112.39,220,166.32
2021-01-02 13:00:00,567.13,3.05,0.7,17.65,6.84,94.06,5.46,113.96,220,172.76
2021-01-02 14:00:00,461.87,1.98,0.67,17.81,7.02,94.02,5.33,112.96,220,169.18999999999997
2021-01-02 15:00:00,301.35,0.83,0.6,17.44,7.14,94.02,5.25,108.14,165,166.6
2021-01-02 16:00:00,118.0,0.12,0.45,16.28,7.26,94.05,4.42,96.09,100,173.88
2021-01-02 17:00:00,10.0,0.0,0.34,14.03,7.14,94.08,4.43,82.8,20,168.63
2021-01-02 18:00:00,0.0,0.0,0.3407142857142857,13.3,6.96,94.14,5.94,78.32,0,232.95999999999998
2021-01-02 19:00:00,0.0,0.0,0.3414285714285714,12.39,6.71,94.18,6.69,78.97,0,228.54999999999998
2021-01-02 20:00:00,0.0,0.0,0.3421428571428571,11.39,6.53,94.19,6.7,80.33,0,224.14
2021-01-02 21:00:00,0.0,0.0,0.3428571428571428,10.55,6.41,94.18,6.62,82.68,0,219.87
2021-01-02 22:00:00,0.0,0.0,0.3435714285714286,9.72,6.29,94.16,6.4,85.8,0,213.71
2021-01-02 23:00:00,0.0,0.0,0.3442857142857143,9.01,6.29,94.16,6.06,88.67,0,204.89
2021-01-03 00:00:00,0.0,0.0,0.345,8.88,6.29,94.15,6.12,90.66,0,188.37
2021-01-03 01:00:00,0.0,0.0,0.3457142857142857,8.55,6.29,94.13,5.62,92.23,0,177.38
2021-01-03 02:00:00,0.0,0.0,0.3464285714285714,7.72,6.35,94.11,4.62,93.1,0,168.28
2021-01-03 03:00:00,0.0,0.0,0.3471428571428571,7.12,6.35,94.08,4.31,93.32,0,161.28
2021-01-03 04:00:00,0.0,0.0,0.3478571428571428,7.15,6.41,94.06,4.54,92.96,0,157.57
2021-01-03 05:00:00,0.0,0.0,0.3485714285714285,6.98,6.41,94.07,4.05,88.89,0,167.16
